,Date,Type,Name,Lot,Brand,Batch,Changes,Amount,Units,Cost,Subset,Brew Process,Date Received,Amounts,Volume (L)
32,2022-08-16,Adjuncts,Lactic Acid,L2004240691,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.019,L,($0.36),1.0,"Mash In, Water Additives",8/9/2021,0.019,250.00
33,2022-08-16,Adjuncts,Bioglucanase,,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.01,L,$0 ,1.0,"Mash In, Water Additives",,0.01,250.00
34,2022-08-16,Adjuncts,MgSO4,82094,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.0245,KG,($0.36),1.0,"Mash In, Water Additives",14/10/2020,0.0245,250.00
35,2022-08-16,Grain,WEY Pilsner,W347,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-37.5,KG,($98.12),1.0,"Mash In, Grain",8/8/2022,37.5,250.00
36,2022-08-16,Grain,WEY Vienna,V361,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-25.0,KG,($67.11),1.0,"Mash In, Grain",8/8/2022,25.0,250.00
37,2022-08-16,Grain,WEY Wheat,W336,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-12.5,KG,($32.54),1.0,"Mash In, Grain",8/8/2022,12.5,250.00
38,2022-08-08,Adjuncts,Safale BE-134 500g,75813,,,Add,1.0,Each,$132.86 ,,,,1.0,
39,2022-08-08,Grain,WEY Pilsner,W347,,,Add,75.0,KG,$196.25 ,,,,75.0,
40,2022-08-08,Grain,WEY Vienna,V361,,,Add,25.0,KG,$67.11 ,,,,25.0,
41,2022-08-08,Grain,WEY Wheat,W336,,,Add,25.0,KG,$65.07 ,,,,25.0,
42,2022-08-08,Hops,SLO Styrian Goldings,21045,,,Add,1.0,KG,$47.45 ,,,,1.0,
43,2022-02-08,Grain,BB Border Malt,3.4897,,,Subtract,-1.034,KG,($3.54),,,13/07/2022,1.034,
44,2022-07-27,Adjuncts,Safale S-04 500g,1900508,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-1.0,Each,($90.10),1.0,Boil Adjuncts,10/5/2021,1.0,300.00
45,2022-07-27,Hops,GR Magnum,19110,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.11,KG,$0 ,1.0,Boil Hops,14/10/2020,0.11,300.00
46,2022-07-27,Adjuncts,Whirlfloc G,3102468,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.01,KG,($0.65),1.0,Kettle Finings,14/10/2020,0.01,300.00
47,2022-07-27,Adjuncts,Yeast Nutrient,9918,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.02,KG,($0.70),1.0,Kettle Finings,14/10/2020,0.02,300.00
48,2022-07-27,Adjuncts,ZnSO4 (Zinc Sulfate),ENZ10032,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.0005,L,($0.02),1.0,Kettle Finings,15/02/2022,0.0005,300.00
49,2022-07-27,Adjuncts,Dextrose,2020102502,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-8.0,KG,($15.54),1.0,Boil Adjuncts,10/5/2021,8.0,300.00
